Data;Total de casos;Casos por dia;Óbitos por dia
04/out/20;1003902;473;42
05/out/20;1004579;677;42
06/out/20;1010839;6260;270
07/out/20;1016755;5916;179
08/out/20;1022404;5649;215
09/out/20;1028190;5786;184
10/out/20;1034816;6626;155
11/out/20;1037660;2844;33
12/out/20;1038344;684;23
13/out/20;1039029;685;35
14/out/20;1045060;6031;227
15/out/20;1051613;6553;149
16/out/20;1057240;5627;180
17/out/20;1062634;5394;122
18/out/20;1063602;968;28
19/out/20;1064039;437;15
20/out/20;1068962;4923;211
21/out/20;1073261;4299;125
22/out/20;1076939;3678;111
23/out/20;1083641;6702;126
24/out/20;1089255;5614;118
25/out/20;1091980;2725;21
26/out/20;1092843;863;6
27/out/20;1098207;5364;132
28/out/20;1103582;5375;122
29/out/20;1108860;5278;112
30/out/20;1113788;4928;136
31/out/20;1116127;2339;56
01/nov/20;1117147;1020;20
02/nov/20;1117795;648;15
03/nov/20;1118544;749;18
04/nov/20;1123299;4755;185
05/nov/20;1125936;2637;168
06/nov/20;1125936;0;0
07/nov/20;1125936;0;0
08/nov/20;1125936;0;0
09/nov/20;1125936;0;0
10/nov/20;1147451;21515;0
11/nov/20;1150872;3421;190
12/nov/20;1156652;5780;295
13/nov/20;1162782;6130;0
14/nov/20;1167422;4640;347
15/nov/20;1168640;1218;15
16/nov/20;1169377;737;12
17/nov/20;1178075;8698;173
18/nov/20;1184496;6421;178
19/nov/20;1191290;6794;147
20/nov/20;1200348;9058;105
21/nov/20;1205435;5087;77
22/nov/20;1209588;4153;11
23/nov/20;1210625;1037;9
24/nov/20;1215844;5219;179
25/nov/20;1224744;8900;146
26/nov/20;1229267;4523;172
27/nov/20;1233587;4320;129
28/nov/20;1238094;4507;146
29/nov/20;1240473;2379;28
30/nov/20;1241653;1180;19
01/dez/20;1250590;8937;195
02/dez/20;1259704;9114;166
03/dez/20;1267912;8208;181
04/dez/20;1276149;8237;151
05/dez/20;1285087;8938;181
06/dez/20;1287762;2675;46
07/dez/20;1288878;1116;25
08/dez/20;1296801;7923;242
09/dez/20;1306585;9784;179
10/dez/20;1316371;9786;200
11/dez/20;1325162;8791;141
12/dez/20;1333763;8601;169
13/dez/20;1334703;940;47
14/dez/20;1337016;2313;32
15/dez/20;1341428;4412;232
16/dez/20;1341428;0;0
17/dez/20;1361731;20303;399
18/dez/20;1371653;9922;197
19/dez/20;1384100;12447;151
20/dez/20;1384100;0;0
21/dez/20;1388043;3943;107
22/dez/20;1398757;10714;259
23/dez/20;1409140;10383;181
24/dez/20;1418491;9351;182
25/dez/20;1422087;3596;37
26/dez/20;1423340;1253;13
27/dez/20;1426176;2836;55
28/dez/20;1427752;1576;39
29/dez/20;1440229;12477;293
30/dez/20;1452078;11849;282
31/dez/20;1462297;10219;240
01/jan/21;1466191;3894;58
02/jan/21;1467953;1762;33
03/jan/21;1471422;3469;37
04/jan/21;1473670;2248;43
05/jan/21;1486551;12881;334
06/jan/21;1501085;14534;289
07/jan/21;1515158;14073;257
08/jan/21;1528952;13794;261
09/jan/21;1540513;11561;269
10/jan/21;1546132;5619;53
11/jan/21;1549142;3010;28
12/jan/21;1561844;12702;283
13/jan/21;1577119;15275;323
14/jan/21;1590829;13710;304
15/jan/21;1605845;15016;311
16/jan/21;1619619;13774;285
17/jan/21;1625339;5720;60
18/jan/21;1628272;2933;42
19/jan/21;1644225;15953;331
20/jan/21;1658636;14411;334
21/jan/21;1670754;12118;286
22/jan/21;1679759;9005;254
23/jan/21;1694355;14596;231
24/jan/21;1699427;5072;79
25/jan/21;1702294;2867;54
26/jan/21;1715253;12959;282
27/jan/21;1731294;16041;332
28/jan/21;1746070;14776;311
29/jan/21;1759957;13887;241
30/jan/21;1773024;13067;232
31/jan/21;1777368;4344;80
01/fev/21;1779722;2354;56
02/fev/21;1794019;14297;365
03/fev/21;1807009;12990;249
04/fev/21;1820941;13932;293
05/fev/21;1833163;12222;327
06/fev/21;1845086;11923;221
07/fev/21;1849334;4248;69
08/fev/21;1851776;2442;49
09/fev/21;1864977;13201;424
10/fev/21;1878802;13825;332
11/fev/21;1889969;11167;323
12/fev/21;1901574;11605;229
13/fev/21;1911411;9837;220
14/fev/21;1913598;2187;75
15/fev/21;1915914;2316;38
16/fev/21;1927410;11496;398
17/fev/21;1938712;11302;258
18/fev/21;1949459;10747;280
19/fev/21;1960564;11105;259
20/fev/21;1971423;10859;244
21/fev/21;1975927;4504;56
22/fev/21;1978477;2550;43
23/fev/21;1990554;12077;357
24/fev/21;2002640;12086;329
25/fev/21;2014529;11889;345
26/fev/21;2026125;11596;256
27/fev/21;2037267;11142;299
28/fev/21;2041628;4361;65
01/mar/21;2044699;3071;53
02/mar/21;2054867;10168;468
03/mar/21;2068616;13749;367
04/mar/21;2080852;12236;313
05/mar/21;2093924;13072;370
06/mar/21;2107687;13763;353
07/mar/21;2113738;6051;46
08/mar/21;2117962;4224;121
09/mar/21;2134020;16058;517
10/mar/21;2149561;15541;469
11/mar/21;2164066;14505;440
12/mar/21;2179786;15720;521
13/mar/21;2195130;15344;434
14/mar/21;2202983;7853;158
15/mar/21;2208242;5259;100
16/mar/21;2225926;17684;679
17/mar/21;2243868;17942;617
18/mar/21;2261360;17492;659
19/mar/21;2280033;18673;620
20/mar/21;2298061;18028;616
21/mar/21;2306326;8265;144
22/mar/21;2311101;4775;44
23/mar/21;2332043;20942;1021
24/mar/21;2352438;20395;281
25/mar/21;2370885;18447;599
26/mar/21;2392374;21489;1193
27/mar/21;2410498;18124;1051
28/mar/21;2420100;9602;244
29/mar/21;2425320;5220;292
30/mar/21;2446680;21360;1209
31/mar/21;2469849;23169;1160
01/abr/21;2496416;26567;1082
02/abr/21;2513178;16762;818
03/abr/21;2520204;7026;198
04/abr/21;2527400;7196;270
05/abr/21;2532047;4647;145
06/abr/21;2554841;22794;1389
07/abr/21;2576362;21521;889
08/abr/21;2597366;21004;1299
09/abr/21;2618067;20701;1008
10/abr/21;2635378;17311;657
11/abr/21;2643534;8156;510
12/abr/21;2648844;5310;181
13/abr/21;2667241;18397;1282
14/abr/21;2686031;18790;1095
15/abr/21;2704098;18067;1060
16/abr/21;2722077;17979;791
17/abr/21;2739823;17746;771
18/abr/21;2746217;6394;253
